,Review_title,Review_text,Ratings
5384,Must buy!,"Bluetooth calling , voice assistant and many more to be amazed , really happy to but this inn such a good range of price.",5
5385,Simply awesome,"It's a worthy smartwatch actually previous i bought pebble cosmos smartwatch but I didn't liked that much after one week in sale i got this watch really it's wonderful and battery backup is awesome till today i didn't charged from past 10 days still 28% charge is there.
Better without call is battery backup is awesome and feature, weightless, accuracy everything is good.
Especially boat items are always Massive...",5
5386,Must buy!,Boat wave Bluetooth calling smart watch once of the best smartwatch ever ..this is my 1st smart watch i used my self . All features are working fine as of now . Thank you so much Flipkart team for providing goot smart watch .. Thank you once again,5
5387,Terrific purchase,This products is very amezing and I'm glad that I bought this..❤️😊...,5
5388,Worth the money,Just awesome 🤩😍 I'm very happy ❤️❤️ best watch for this price ☺️❤️,4
5389,Mind-blowing purchase,Looks like amoled display...,5
5390,Perfect product!,Great Product and Value for money thanks boat,5
5391,Fabulous!,"Just amazing.....
Product is so good.......❤️❤️❤️❤️",5
5392,Hated it!,"Editing review after 2 weeks:
Watching showing errors already, call PICK UP option disappeared, can't call from watch keeps giving error 'connect ur phone'",1
5393,Worth every penny,Osam product,5
5394,Excellent,It's amazing 😍,5
5395,Just wow!,Amezing watch in this price,5
5396,Value-for-money,best of this price,4
5397,Wonderful,Nice calling options in this price range,5
5398,Terrible product,"Lot of software Issues in the Mobile app. face detection is not working and most of the time not able to make the calls.
Watch with app not communicating properly.",1
5399,Terrific,"Awesome Watch
nice speakers
1 no. mic",5
5400,Worth the money,Awesome watch,4
5401,Simply awesome,Nice watch,5
5402,Fabulous!,nice poddat,5
5403,Classy product,"Boat is my fav brand and I am becoming more fan of it after seing this launch , really happy to see these features in it.",5
5404,Super!,Good product 👍,5
5405,Worthless,I love this watch. But I just give one star because of Bluetooth connectivity issue. After update app and watch Bluetooth calling future is not working perfectly. That's too disappointed. Every time reconnect calling Bluetooth. But app connected well. I think app and calling Bluetooth are separated. Calling function maybe Bluetooth 3.0 or something. But that's okay.,1
5406,Worth the money,"Nice looking,
The money is recovered😀",4
5407,Worthless,"Watch is defective ,on screen there is 4 horizontal line as per return policy I hv return within time but they have cancelled my return.
It is cheating with regular customer.
Don't buy",1
5408,Simply awesome,Its really good smart watch with variety of color options in it.,5
5409,Wonderful,Best ever on this range 😎🤟🏻,4
5410,Wonderful,Nice value for money,5
5411,Brilliant,It's amazing.. this is totally value for money speaker is louder than average.. in this price segment.. it's worth it,5
5412,Highly recommended,"Worth the price, Premium features and good display with long life battery.
The microphone with high efficiency sounds.♥️",5
5413,Classy product,very beautiful watch and its straps are very flex ... mic is good no problem to make call and also alex is useful some times 😉..,5
5414,Awesome,"Excellent product by boat, I am using it from 2 days need more days use for a better reviews. But I feel in 2 days there is connectivity issue, most of the time connection getting lossed between watch & mobile",5
5415,Brilliant,Good product at this price,5
5416,Worth every penny,Very nice product 😊👍🏻,5
5417,Terrific purchase,"Nice product 👍
Good one",5
5418,Worth every penny,Excellent Product Value for Money 💰,5
5419,Brilliant,I love the design of this watch and it's build quality. The main reason of purchasing this watch was battery backup and bluetooth calling. I must say bluetooth calling quality is good and sensors are accurate.,5
5420,Don't waste your money,After updating boat wave app calling feature is not working.... Please improve it,1
5421,Fabulous!,Awesome 👍,5
5422,Hated it!,Waste of money .features not working and battery backup given only one day.,1
5423,Not recommended at all,blue tooth connvity many time discouncted,1
5424,Decent product,The product is good but only the battery life is upto 3 days whereas it's showing upto 7 days in the features.,3
5425,Simply awesome,Very nice product,5
5426,Excellent,It was very good must buy it,5
5427,Wonderful,Use full product,5
5428,Perfect product!,Good product,5
5429,Fabulous!,"It has 100+ display faces, a really attractive feature. I can change it according to my mood.",5
5430,Value-for-money,"Sometimes facing problem with Bluetooth connectivity.
All reviews by other buyer my review is same.
And most important music play not support 😑 only music controller in this watch....",4
5431,Pretty good,"Strap quality not up to the mark..
Rest all is good",4
5432,Fair,All is good but battery backup is not perfect and connectivity with phone strength is low.,3
5433,Utterly Disappointed,battery life very low,1
5434,Wonderful,Excellent work done in boat @ this price Range❤️❤️Worth buy guyzzzzzzz,5
5435,Absolute rubbish!,Very bad display colour....dizo smartwatch is best,1
5436,Mind-blowing purchase,Good product. Super quality. 👌 🤩,5
5437,Nice product,Outstanding watch in this price,4
5438,Fabulous!,Very good product and happy with this product.,5
5439,Highly recommended,Good product value for money,5
5440,Fabulous!,"Best in this prize.
must buy.
i love boAt.
quality & technology always best.",5
5441,Classy product,This watch is just amazing. I loved the calling feature in this watch display brightness is also great. Loved it so much.,5
5442,Worthless,Display parallel line show watch is damage under 10 days,1
5443,Slightly disappointed,Incoming outgoing caller name not show problem,2
5444,Best in the market!,Must buy,5
5445,Does the job,Good quality,3
5446,Terrific purchase,"Nice watch...
Value for money...
Looks Good.....
Battery Good.....",5
5447,Terrific,Nice design,5
5448,Worth the money,Nice product,4
5449,Wonderful,Awesome product. Love it...,5
5450,Good,"Alexa is not good support
And all functions good",3
5451,Terrific purchase,This watch was very good,5
5452,Best in the market!,"A total value for money product...I'm so happy with this product..

Pros👇👇
1. A massive battery backup
2. Nice look and design
3. Many features
4. 50+ clock styles

Cons👇👇
1. It tooks something more time than others to charge",5
5453,Fabulous!,Just amazing in this price range,5
5454,Excellent,Super watch ti boat,5
5455,Good quality product,Osem,4
5456,Nice product,Nice smartwatch with calling function at this price.,4
5457,Decent product,"Battery time is not 7 days guys, be careful,",3
5458,Awesome,"👌💯Nice Watch
Battery quality good 👍🥰
And 150+cloud
Call function good and any future to watch
Step tracking Good and better price",5
5459,Fair,"Product is good but bpm, oxygen level, stress measurement are different to original it supports some app to notification it doesn't support to Flipkart notification and other apps and it has some watch faces and i think some function are added then it is better than other smart watch",3
5460,Terrific purchase,"Very Nice Product from boat... Connectivity very Fast ., watch Faces collection is very Awesome 😘😘 ., Activity Tracking maximum is Correct...,, And BT Calling awesome this segment..
And Call quality is very super And Loud speaker also...
I love this product ....❤️",5
5461,Excellent,This smartwatch is really amazing and its features are unbelievable at this cost. I personally like the design and calling feature which comes very handy when you are driving a vehicle. Best smartwatch i will recommend it to all.,5
5462,Highly recommended,"Excellent product with heart rate meter, SPO2 meter (I was looking for in this price bucket), fitness goals, alarm, call rejector, and many more like call and message option. Battery life is good. Takes one hour to charge from 0-100%. Overall good product!",5
5463,Super!,This is my first smartwatch from boat.This watch comes with very accurate sensors i loved it and the Bluetooth calling feature is very best for me. Nice product from boat. I Highly recommend it to all who buy a Best Bluetooth calling smart watch in affordable price ❤,5
5464,Perfect product!,"Have 3 color options and all are amazing , I ahve got mine and it has really amazed me , worth it.",5
5465,Just okay,"Everything is good the only problem is display. It should have come with full screen display. And stil display is not properly manage from down thr is more space left compare to upper its not equal. Which is not acceptable from company lije boat. Mic is good you can have good calling exp. Display touch also can be much batter as it is not that smooth. Strips and body is ok as per price. Overall ok at ths price range. Rest i have not used it much if it creates any issue m going to edit it. I ...
READ MORE",3
5466,Wonderful,"On usage for 2 weeks since launch-

1.Voice Calling 📞 is awesome. Smooth experience.
2. Call Rejection quick message not available. Should be there with later updates.
3.Battery is good.
4.Display is good.
5.Design is sturdy.
6.Features are good except body temperature tracker not provided. Should have been provided in this price range.
7.Heart Rate Tracker, Stress Level Tracker need proper wear of the watch and can not be worn loosely. It needs all the back-sensors to touch your wrist.
8.N...
READ MORE",4
5467,Terrific,"Amazing and gud quality.
Overall nice feature I really like it
Calling Function is fantastic
Worth of money
I'm very happi very nice watch",5
5468,Wonderful,"Amazing and good quality, overall nice feature I really like it. Calling function is fantastic worth of money
I'm very happi very nice watch",5
5469,Excellent,"The smartwatch is amazing. The 1.6 inch large display looks great in outdoors. The most highlighting feature of the watch is it supports Bluetooth calling. U can read notifications also. It also comes with Alexa which works quite well. There are almost 60 health modes and all are useful and highly accurate. There are lot of amazing watch faces which we can choose according to our wish and we can customise the faces too. The 7day battery life is due to its massive 300mah battery. This was my f...
READ MORE",5
5470,Excellent,"Highly Recommended

As like as Apple watch series.
Thanks boat company.🔥🔥
This watch is most convenient.💝💝💝
Amazing just simply, superb and sweet ❤️
At this price, it is really beautiful
As like as Apple watch!👍👍
Fast delivery on time.💞💗
Calling voice is the best 🙂🙂",5
5471,Worth every penny,"The Classic Black Smart Watch

Searching for the blutooth calling smartwatch and i got this new launch from my favourite brand

1) Display brightness and weak up look is just cool classic
2) Comfortable Strips
3) Calling Feature is main feature for this and the audio quality of the Smartwatch is superb
4) Battery Backup is Smoothly maintaining for 2 days with Calling
5) Trying out Sports function to maintain fitness and accurate sensor working perfectly
6) Watch faces and app connectivity...
READ MORE",5
5472,Simply awesome,"Overall performance of the watch is good and also the quality is superb , it’s a budget friendly smart watch , it has almost all the other features which usually an expensive smart watch has it , the quality of the stripe is really good , I did not feel any discomfort despite of wearing it the whole day
It’s a highly recommended product especially for the people who love to keep a track on their daily activities.
It is best for them.",5
5473,Terrific purchase,"Very Nice Product from boat... Connectivity very Fast ., watch Faces collection is very Awesome 😘😘 ., Activity Tracking maximum is Correct...,, And BT Calling awesome this segment..
And Call quality is very super And Loud speaker also...
I love this product ....❤️",5
5474,Simply awesome,"Hii I'm sumit 😎
I'm very excited seen this product
💝💝
This watch is just amazing . I loved the calling feature in this watch display brightness is also great . Loved it so much .👍",5
5475,Worth the money,"Product is very good 👍. But it's wake gesture is not work properly 😕.
Over all is best 👌 in class",4
5476,Fabulous!,The watch is too good I like the build quality and the voice is clear if we call...❤️ impressed,5
5477,Fair,"Product is good but bpm, oxygen level, stress measurement are different to original it supports some app to notification it doesn't support to Flipkart notification and other apps and it has some watch faces and i think some function are added then it is better than other smart watch",3
5478,Wonderful,"Amazing and good quality, overall nice feature I really like it. Calling function is fantastic worth of money
I'm very happi very nice watch",5
5479,Excellent,"The smartwatch is amazing. The 1.6 inch large display looks great in outdoors. The most highlighting feature of the watch is it supports Bluetooth calling. U can read notifications also. It also comes with Alexa which works quite well. There are almost 60 health modes and all are useful and highly accurate. There are lot of amazing watch faces which we can choose according to our wish and we can customise the faces too. The 7day battery life is due to its massive 300mah battery. This was my f...
READ MORE",5
5480,Excellent,"Highly Recommended

As like as Apple watch series.
Thanks boat company.🔥🔥
This watch is most convenient.💝💝💝
Amazing just simply, superb and sweet ❤️
At this price, it is really beautiful
As like as Apple watch!👍👍
Fast delivery on time.💞💗
Calling voice is the best 🙂🙂",5
5481,Worth every penny,"The Classic Black Smart Watch

Searching for the blutooth calling smartwatch and i got this new launch from my favourite brand

1) Display brightness and weak up look is just cool classic
2) Comfortable Strips
3) Calling Feature is main feature for this and the audio quality of the Smartwatch is superb
4) Battery Backup is Smoothly maintaining for 2 days with Calling
5) Trying out Sports function to maintain fitness and accurate sensor working perfectly
6) Watch faces and app connectivity...
READ MORE",5
5482,Simply awesome,"Overall performance of the watch is good and also the quality is superb , it’s a budget friendly smart watch , it has almost all the other features which usually an expensive smart watch has it , the quality of the stripe is really good , I did not feel any discomfort despite of wearing it the whole day
It’s a highly recommended product especially for the people who love to keep a track on their daily activities.
It is best for them.",5
5483,Terrific purchase,"Very Nice Product from boat... Connectivity very Fast ., watch Faces collection is very Awesome 😘😘 ., Activity Tracking maximum is Correct...,, And BT Calling awesome this segment..
And Call quality is very super And Loud speaker also...
I love this product ....❤️",5
5484,Simply awesome,"Hii I'm sumit 😎
I'm very excited seen this product
💝💝
This watch is just amazing . I loved the calling feature in this watch display brightness is also great . Loved it so much .👍",5
5485,Worth the money,"Product is very good 👍. But it's wake gesture is not work properly 😕.
Over all is best 👌 in class",4
5486,Fabulous!,The watch is too good I like the build quality and the voice is clear if we call...❤️ impressed,5
5487,Fair,"Product is good but bpm, oxygen level, stress measurement are different to original it supports some app to notification it doesn't support to Flipkart notification and other apps and it has some watch faces and i think some function are added then it is better than other smart watch",3
5488,Awesome,"👌💯Nice Watch
Battery quality good 👍🥰
And 150+cloud
Call function good and any future to watch
Step tracking Good and better price",5
5489,Fair,"Product is good but bpm, oxygen level, stress measurement are different to original it supports some app to notification it doesn't support to Flipkart notification and other apps and it has some watch faces and i think some function are added then it is better than other smart watch",3
5490,Terrific purchase,"Very Nice Product from boat... Connectivity very Fast ., watch Faces collection is very Awesome 😘😘 ., Activity Tracking maximum is Correct...,, And BT Calling awesome this segment..
And Call quality is very super And Loud speaker also...
I love this product ....❤️",5
5491,Excellent,This smartwatch is really amazing and its features are unbelievable at this cost. I personally like the design and calling feature which comes very handy when you are driving a vehicle. Best smartwatch i will recommend it to all.,5
5492,Highly recommended,"Excellent product with heart rate meter, SPO2 meter (I was looking for in this price bucket), fitness goals, alarm, call rejector, and many more like call and message option. Battery life is good. Takes one hour to charge from 0-100%. Overall good product!",5
5493,Super!,This is my first smartwatch from boat.This watch comes with very accurate sensors i loved it and the Bluetooth calling feature is very best for me. Nice product from boat. I Highly recommend it to all who buy a Best Bluetooth calling smart watch in affordable price ❤,5
5494,Perfect product!,"Have 3 color options and all are amazing , I ahve got mine and it has really amazed me , worth it.",5
5495,Just okay,"Everything is good the only problem is display. It should have come with full screen display. And stil display is not properly manage from down thr is more space left compare to upper its not equal. Which is not acceptable from company lije boat. Mic is good you can have good calling exp. Display touch also can be much batter as it is not that smooth. Strips and body is ok as per price. Overall ok at ths price range. Rest i have not used it much if it creates any issue m going to edit it. I ...
READ MORE",3
5496,Wonderful,"On usage for 2 weeks since launch-

1.Voice Calling 📞 is awesome. Smooth experience.
2. Call Rejection quick message not available. Should be there with later updates.
3.Battery is good.
4.Display is good.
5.Design is sturdy.
6.Features are good except body temperature tracker not provided. Should have been provided in this price range.
7.Heart Rate Tracker, Stress Level Tracker need proper wear of the watch and can not be worn loosely. It needs all the back-sensors to touch your wrist.
8.N...
READ MORE",4
5497,Terrific,"Amazing and gud quality.
Overall nice feature I really like it
Calling Function is fantastic
Worth of money
I'm very happi very nice watch",5
5498,Perfect product!,This watch is super cool and as it have calling feature it became one of the best value for money smart watch with almost all kind of facilities.really didn't expected such a best brand to launch such a value for money futuristic smart watch.,5
5499,Perfect product!,Design alone could be better but it' s ok for the price what i bought . Calling features awesome and other new things introduced in this are good .Must try product,5
5500,Wonderful,"1. Display is good.. but not very good.. my sister has fire bolt mercury, which has much better display than it..

2. The watch faces are good.. but they are limited.. and i personally did not find a good one till now ..

3. The look of the watch is good .. but not sleek n classy..

4. Calling feature is fabulous ❤️ infact the best in this price range..

5. Tracking features are too good n nearly 85% accurate..

6. Battery life is really good..

7. The app however, is a bit complicated one..",4
5501,Wonderful,"After many search option, I select this Watch and it's worth to buy. All the functions works smoothly , speaker voice is excellent so you may receive or call without holding phone in hand. The watch looks very stylish and is very responsive to touch. Calling feature with this pricing is amazing . The speaker and mic work perfectly. Mobile app connects to it very easily and good battery backup. Absolutely recommend at this price. Order blindly, you will not repent but you will surely repeat yo...
READ MORE",5
5502,Brilliant,The watch is absolutely amazing and the design is also to good and as boat brand is always the best this smartwatch is also the best.,5
5503,Terrific purchase,"# I'm Totally Speechless....I'm eagerly waiting for it...😍
# Build in Quality is Great...
# All Sensors r working Properly...👏
# Lovely Design....💜
# Magnetic Charging feature and Battery Backup is also great...😘
# Bluetooth Calling is Working Properly...💘
# IP68 Feature, Saving Favorite Contacts within Watch, Firmware Update, Silent Mode Facility, Ringtone Changing Feature, Built in Alexa, Ambient Mode And Many Other Unique Features makes this watch an Awesome One....😊💜
# Watch UI and...
READ MORE",5
5504,Must buy!,"Bluetooth calling , voice assistant and many more to be amazed , really happy to but this inn such a good range of price.",5
5505,Simply awesome,"It's a worthy smartwatch actually previous i bought pebble cosmos smartwatch but I didn't liked that much after one week in sale i got this watch really it's wonderful and battery backup is awesome till today i didn't charged from past 10 days still 28% charge is there.
Better without call is battery backup is awesome and feature, weightless, accuracy everything is good.
Especially boat items are always Massive...",5
5506,Must buy!,Boat wave Bluetooth calling smart watch once of the best smartwatch ever ..this is my 1st smart watch i used my self . All features are working fine as of now . Thank you so much Flipkart team for providing goot smart watch .. Thank you once again,5
5507,Terrific purchase,This products is very amezing and I'm glad that I bought this..❤️😊...,5
5508,Worth the money,Just awesome 🤩😍 I'm very happy ❤️❤️ best watch for this price ☺️❤️,4
5509,Mind-blowing purchase,Looks like amoled display...,5
5510,Perfect product!,Great Product and Value for money thanks boat,5
5511,Fabulous!,"Just amazing.....
Product is so good.......❤️❤️❤️❤️",5
5512,Hated it!,"Editing review after 2 weeks:
Watching showing errors already, call PICK UP option disappeared, can't call from watch keeps giving error 'connect ur phone'",1
5513,Worth every penny,Osam product,5
5514,Excellent,It's amazing 😍,5
5515,Just wow!,Amezing watch in this price,5
5516,Value-for-money,best of this price,4
5517,Wonderful,Nice calling options in this price range,5
5518,Terrible product,"Lot of software Issues in the Mobile app. face detection is not working and most of the time not able to make the calls.
Watch with app not communicating properly.",1
5519,Terrific,"Awesome Watch
nice speakers
1 no. mic",5
5520,Worth the money,Awesome watch,4
5521,Simply awesome,Nice watch,5
5522,Fabulous!,nice poddat,5
5523,Classy product,"Boat is my fav brand and I am becoming more fan of it after seing this launch , really happy to see these features in it.",5
5524,Super!,Good product 👍,5
5525,Worthless,I love this watch. But I just give one star because of Bluetooth connectivity issue. After update app and watch Bluetooth calling future is not working perfectly. That's too disappointed. Every time reconnect calling Bluetooth. But app connected well. I think app and calling Bluetooth are separated. Calling function maybe Bluetooth 3.0 or something. But that's okay.,1
5526,Worth the money,"Nice looking,
The money is recovered😀",4
5527,Worthless,"Watch is defective ,on screen there is 4 horizontal line as per return policy I hv return within time but they have cancelled my return.
It is cheating with regular customer.
Don't buy",1
5528,Simply awesome,Its really good smart watch with variety of color options in it.,5
5529,Wonderful,Best ever on this range 😎🤟🏻,4
5530,Wonderful,Nice value for money,5
5531,Brilliant,It's amazing.. this is totally value for money speaker is louder than average.. in this price segment.. it's worth it,5
5532,Highly recommended,"Worth the price, Premium features and good display with long life battery.
The microphone with high efficiency sounds.♥️",5
5533,Classy product,very beautiful watch and its straps are very flex ... mic is good no problem to make call and also alex is useful some times 😉..,5
5534,Awesome,"Excellent product by boat, I am using it from 2 days need more days use for a better reviews. But I feel in 2 days there is connectivity issue, most of the time connection getting lossed between watch & mobile",5
5535,Brilliant,Good product at this price,5
5536,Worth every penny,Very nice product 😊👍🏻,5
5537,Terrific purchase,"Nice product 👍
Good one",5
5538,Worth every penny,Excellent Product Value for Money 💰,5
5539,Brilliant,I love the design of this watch and it's build quality. The main reason of purchasing this watch was battery backup and bluetooth calling. I must say bluetooth calling quality is good and sensors are accurate.,5
5540,Don't waste your money,After updating boat wave app calling feature is not working.... Please improve it,1
5541,Fabulous!,Awesome 👍,5
5542,Hated it!,Waste of money .features not working and battery backup given only one day.,1
5543,Not recommended at all,blue tooth connvity many time discouncted,1
5544,Decent product,The product is good but only the battery life is upto 3 days whereas it's showing upto 7 days in the features.,3
5545,Simply awesome,Very nice product,5
5546,Excellent,It was very good must buy it,5
5547,Wonderful,Use full product,5
5548,Perfect product!,Good product,5
5549,Fabulous!,"It has 100+ display faces, a really attractive feature. I can change it according to my mood.",5
5550,Value-for-money,"Sometimes facing problem with Bluetooth connectivity.
All reviews by other buyer my review is same.
And most important music play not support 😑 only music controller in this watch....",4
5551,Pretty good,"Strap quality not up to the mark..
Rest all is good",4
5552,Fair,All is good but battery backup is not perfect and connectivity with phone strength is low.,3
5553,Utterly Disappointed,battery life very low,1
5554,Wonderful,Excellent work done in boat @ this price Range❤️❤️Worth buy guyzzzzzzz,5
5555,Absolute rubbish!,Very bad display colour....dizo smartwatch is best,1
5556,Mind-blowing purchase,Good product. Super quality. 👌 🤩,5
5557,Nice product,Outstanding watch in this price,4
5558,Fabulous!,Very good product and happy with this product.,5
5559,Highly recommended,Good product value for money,5
5560,Fabulous!,"Best in this prize.
must buy.
i love boAt.
quality & technology always best.",5
5561,Classy product,This watch is just amazing. I loved the calling feature in this watch display brightness is also great. Loved it so much.,5
5562,Worthless,Display parallel line show watch is damage under 10 days,1
5563,Slightly disappointed,Incoming outgoing caller name not show problem,2
5564,Best in the market!,Must buy,5
5565,Does the job,Good quality,3
5566,Terrific purchase,"Nice watch...
Value for money...
Looks Good.....
Battery Good.....",5
5567,Terrific,Nice design,5
5568,Worth the money,Nice product,4
5569,Wonderful,Awesome product. Love it...,5
5570,Good,"Alexa is not good support
And all functions good",3
5571,Terrific purchase,This watch was very good,5
5572,Best in the market!,"A total value for money product...I'm so happy with this product..

Pros👇👇
1. A massive battery backup
2. Nice look and design
3. Many features
4. 50+ clock styles

Cons👇👇
1. It tooks something more time than others to charge",5
5573,Fabulous!,Just amazing in this price range,5
5574,Excellent,Super watch ti boat,5
5575,Good quality product,Osem,4
5576,Nice product,Nice smartwatch with calling function at this price.,4
5577,Decent product,"Battery time is not 7 days guys, be careful,",3
5578,Awesome,"👌💯Nice Watch
Battery quality good 👍🥰
And 150+cloud
Call function good and any future to watch
Step tracking Good and better price",5
5579,Fair,"Product is good but bpm, oxygen level, stress measurement are different to original it supports some app to notification it doesn't support to Flipkart notification and other apps and it has some watch faces and i think some function are added then it is better than other smart watch",3
5580,Terrific purchase,"Very Nice Product from boat... Connectivity very Fast ., watch Faces collection is very Awesome 😘😘 ., Activity Tracking maximum is Correct...,, And BT Calling awesome this segment..
And Call quality is very super And Loud speaker also...
I love this product ....❤️",5
5581,Excellent,This smartwatch is really amazing and its features are unbelievable at this cost. I personally like the design and calling feature which comes very handy when you are driving a vehicle. Best smartwatch i will recommend it to all.,5
5582,Highly recommended,"Excellent product with heart rate meter, SPO2 meter (I was looking for in this price bucket), fitness goals, alarm, call rejector, and many more like call and message option. Battery life is good. Takes one hour to charge from 0-100%. Overall good product!",5
5583,Super!,This is my first smartwatch from boat.This watch comes with very accurate sensors i loved it and the Bluetooth calling feature is very best for me. Nice product from boat. I Highly recommend it to all who buy a Best Bluetooth calling smart watch in affordable price ❤,5
5584,Perfect product!,"Have 3 color options and all are amazing , I ahve got mine and it has really amazed me , worth it.",5
5585,Just okay,"Everything is good the only problem is display. It should have come with full screen display. And stil display is not properly manage from down thr is more space left compare to upper its not equal. Which is not acceptable from company lije boat. Mic is good you can have good calling exp. Display touch also can be much batter as it is not that smooth. Strips and body is ok as per price. Overall ok at ths price range. Rest i have not used it much if it creates any issue m going to edit it. I ...
READ MORE",3
5586,Wonderful,"On usage for 2 weeks since launch-

1.Voice Calling 📞 is awesome. Smooth experience.
2. Call Rejection quick message not available. Should be there with later updates.
3.Battery is good.
4.Display is good.
5.Design is sturdy.
6.Features are good except body temperature tracker not provided. Should have been provided in this price range.
7.Heart Rate Tracker, Stress Level Tracker need proper wear of the watch and can not be worn loosely. It needs all the back-sensors to touch your wrist.
8.N...
READ MORE",4
5587,Terrific,"Amazing and gud quality.
Overall nice feature I really like it
Calling Function is fantastic
Worth of money
I'm very happi very nice watch",5
5588,Must buy!,"noise colorFit Caliber it's an amazing smartwatch.
I purchased on launch day.
it's working extremely well.
already one week over, not even once also not charged and i continuously using day and night but still it's showing 6o% charge.
battery power is awesome and its working well and it's connecting fast, display quality is super with adjustable brightness and health monitores like blood oxygen monitor, heart rate monitor, body temperature, stress monitor, sleeping monitor all are working 10...
READ MORE",5
5589,Perfect product!,I want to Say Just Go for It without Over-thinking. Best in class Polycarbonate Light Weight Classic Body. Awesome Looking Like iPhone Model. Loved It All Side.,5
5590,Wonderful,"Wonderful product with amazing features. I have been using the previous noise watch as well which is also good, but the new one has got a whole new set of improved and additional features. A must buy in such a affordable price. And lastly the best part is that it is compatible with iOS operating systems.",5
5591,Wonderful,"On time delivery by Flipkart. Good Job Team Noise, overall satisfied. Temp reading is +/- 2 compaired with Digital Thermometer and SPO2 & Heart-Rate is also +/- 2 compaired with Oximeter, important to note watch gives consistent results everytime, primarily bought it for these three, looking at the times we are in, hope you get the point. Magnetic Charger is a good convenience. App is good, well designed. Display is good and is bright even in sun, HD display would have been wow!. Totally Valu...
READ MORE",5
5592,Awesome,Good Smart watch my son happy 😃 Display quality very good and battery life 10 days,5
5593,Simply awesome,Indeed a 🔥Fire🔥 Smartwatch with Stunning look at this Price Range.1st Impression was Excellent and i hope it will work fine by the time😌,5
5594,Awesome,The best product ever in that range prize very good . Thanks for providing such a good product flipkart. The watch is with many features it has torch and temp also the watch strap is best and also there are many watch faces,5
5595,Perfect product!,"Value for money, with Flipkart blaze fast delivery.
I write this review after almost 15days uses.
Pros:
1. Design is very good with flat display.
2. Display is very good and bright. No problem on direct sunlight view.
3. Watch ui also very good and responsive. No lagging issue
4. All the sensors work almost perfectly and accurately.

Cons:
1: build in plastic no metal, but according to price it's no issues
2: Water resistant ip68 only, no 5atm.

Overall it's very good watch .",5
5596,Excellent,"Pros:
- Build quality is really good and attractive, display quality is bright enough. Overall good display at this price point, can't expect more. Moreover it comes with IP68 ratings

- Super battery life, Full charged it on the day it arrived, It has been 10 days, battery level is 38%, which is really impressive

- Just shake your hand and watch will show the time, thats a cool feature

- Although this smartwatch is not a replacement of medical devices, but it offers excellent accuracy. Hea...
READ MORE",5
5597,Value-for-money,"Just one word - Amazing !!
Very much satisfied with the performance of the watch and the features that it has. No other watches has these many features at this price range. Just go with it and you'll definitely love it.
* Display of the watch is good and satisfactory, it is visible clearly in the sunlight even though it is not an amoled display. * Temperature,spo2,HRM, stress trackers are just awesome, I've verfied the accuracy of these metrics with the other health monitoring devices and th...
READ MORE",4
5598,Must buy!,"noise colorFit Caliber it's an amazing smartwatch.
I purchased on launch day.
it's working extremely well.
already one week over, not even once also not charged and i continuously using day and night but still it's showing 6o% charge.
battery power is awesome and its working well and it's connecting fast, display quality is super with adjustable brightness and health monitores like blood oxygen monitor, heart rate monitor, body temperature, stress monitor, sleeping monitor all are working 10...
READ MORE",5
5599,Perfect product!,I want to Say Just Go for It without Over-thinking. Best in class Polycarbonate Light Weight Classic Body. Awesome Looking Like iPhone Model. Loved It All Side.,5
5600,Wonderful,"Wonderful product with amazing features. I have been using the previous noise watch as well which is also good, but the new one has got a whole new set of improved and additional features. A must buy in such a affordable price. And lastly the best part is that it is compatible with iOS operating systems.",5
5601,Wonderful,"On time delivery by Flipkart. Good Job Team Noise, overall satisfied. Temp reading is +/- 2 compaired with Digital Thermometer and SPO2 & Heart-Rate is also +/- 2 compaired with Oximeter, important to note watch gives consistent results everytime, primarily bought it for these three, looking at the times we are in, hope you get the point. Magnetic Charger is a good convenience. App is good, well designed. Display is good and is bright even in sun, HD display would have been wow!. Totally Valu...
READ MORE",5
5602,Awesome,Good Smart watch my son happy 😃 Display quality very good and battery life 10 days,5
5603,Simply awesome,Indeed a 🔥Fire🔥 Smartwatch with Stunning look at this Price Range.1st Impression was Excellent and i hope it will work fine by the time😌,5
5604,Awesome,The best product ever in that range prize very good . Thanks for providing such a good product flipkart. The watch is with many features it has torch and temp also the watch strap is best and also there are many watch faces,5
5605,Perfect product!,"Value for money, with Flipkart blaze fast delivery.
I write this review after almost 15days uses.
Pros:
1. Design is very good with flat display.
2. Display is very good and bright. No problem on direct sunlight view.
3. Watch ui also very good and responsive. No lagging issue
4. All the sensors work almost perfectly and accurately.

Cons:
1: build in plastic no metal, but according to price it's no issues
2: Water resistant ip68 only, no 5atm.

Overall it's very good watch .",5
5606,Excellent,"Pros:
- Build quality is really good and attractive, display quality is bright enough. Overall good display at this price point, can't expect more. Moreover it comes with IP68 ratings

- Super battery life, Full charged it on the day it arrived, It has been 10 days, battery level is 38%, which is really impressive

- Just shake your hand and watch will show the time, thats a cool feature

- Although this smartwatch is not a replacement of medical devices, but it offers excellent accuracy. Hea...
READ MORE",5
